Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
SRR27013332_2	23.765233642768024	40.0	243.01534883833835	294	9.090909090909092	0.8239059999999999
SRR27013333_1	31.776175822948247	40.0	246.83484387035875	294	9.090909090909092	0.8983559999999999
SRR27013333_2	26.178258636630574	40.0	246.85142749644908	294	9.090909090909092	0.8983559999999999
SRR27013334_1	33.80541113159701	40.0	238.7692995586188	274	9.090909090909092	1.069597
SRR27013334_2	29.00530028861195	41.0	238.5607574628575	274	9.090909090909092	1.069597
SRR27013335_1	29.099765292616894	40.0	239.94158150526022	284	9.090909090909092	0.837038
SRR27013335_2	24.794241533372656	40.0	239.74678509219413	284	9.090909090909092	0.837038
SRR27013336_1	29.543603838693073	40.0	245.4089369865351	294	9.090909090909092	0.797036
SRR27013336_2	24.46929886352919	41.0	245.2681114780261	294	18.181818181818183	0.797036
SRR27013337_1	30.536774746163147	42.0	254.71357933165353	301	18.181818181818183	0.659598
SRR27013337_2	24.719045930164995	42.0	254.8371576323761	301	18.181818181818183	0.659598
SRR27013338_1	30.734843064203574	40.0	265.8289589653669	301	18.181818181818183	0.646722
SRR27013338_2	27.637727624176478	40.0	265.62288819616464	301	18.181818181818183	0.646722
SRR27013339_1	27.220909688996628	41.0	253.6940156626472	294	9.090909090909092	0.706394
SRR27013339_2	21.8258395389401	41.0	254.2107138509104	301	9.090909090909092	0.706394
SRR27013340_1	25.12617852022278	40.0	278.86525680210207	301	9.090909090909092	0.6016889999999999
SRR27013340_2	21.732734200477324	40.0	278.78368559172594	301	9.090909090909092	0.6016889999999999
SRR27013341_1	35.4248356481944	41.0	233.2502570937827	264	9.090909090909092	1.096876
SRR27013341_2	32.45152292490742	41.0	232.96835740776532	264	9.090909090909092	1.096876
SRR27013342_1	31.280376017073692	41.0	246.32025026870397	294	9.090909090909092	0.8689859999999999
SRR27013342_2	27.881267317926614	41.0	246.13053144699686	294	9.090909090909092	0.8689859999999999
SRR27013343_1	40.48161385543485	40.0	227.35299846301893	264	9.090909090909092	1.0370979999999999
SRR27013343_2	37.14872433766948	41.0	227.0414035124935	264	9.090909090909092	1.0370979999999999
