"","fm_1","fm_2","fm_3","fm_4","m_1","m_2","m_3"
"SAOUHSC_00213",17.613447192751,25.8022563239694,4.47889119496865,16.6514549085695,25.6816536421092,9.89854614295266,8.90660486620053
"SAOUHSC_00216",27.0072856955515,30.9627075887633,4.47889119496865,51.143754362035,57.7837206947456,12.3731826786908,53.4396291972032
"SAOUHSC_00217",52.840341578253,51.6045126479388,0,97.5299501787645,77.9621628421171,2.47463653573817,107.22182012003
"SAOUHSC_00218",1.17422981285007,7.74067689719081,4.47889119496865,2.37877927265279,2.75160574736884,1.23731826786908,13.3599072993008
"SAOUHSC_00219",114.487406752882,190.936696797373,69.4228135220142,449.589282531378,372.383977810583,438.010666825655,322.008022085712
"SAOUHSC_00220",15.2649875670509,15.4813537943816,41.4297435534601,38.0604683624447,16.509634484213,2.47463653573817,30.8305553060788
"SAOUHSC_00221",37.5753540112021,10.3209025295877,80.6200415094358,26.1665719991807,27.5160574736884,54.4420037862396,157.578393786625
"SAOUHSC_00222",26.4201707891265,67.0858664423204,194.831766981136,45.1968061804031,25.6816536421092,86.6122787508358,165.457313475956
"SAOUHSC_00223",4.69691925140027,0,69.4228135220142,16.6514549085695,0,37.1195480360725,17.8132097324011
"SAOUHSC_00225",22.3103664441513,15.4813537943816,94.0567150943417,57.090702543667,27.5160574736884,25.9836836252507,31.1731170317019
"SAOUHSC_00226",66.3439844260288,123.850830355053,193.712044182394,201.006848539161,110.981431810543,108.884007572479,132.571387816139
"SAOUHSC_00227",480.847108362102,949.523032722073,1186.90616666669,819.489459428887,700.742263663264,1207.62262944022,1023.23187443619
"SAOUHSC_00228",50.4918819525529,412.83610118351,513.952764622653,124.885911814272,192.612402315819,317.990794842354,250.412621430484
"SAOUHSC_00229",2.34845962570013,0,11.1972279874216,0,5.50321149473768,0,3.42561725623097
"SAOUHSC_00230",62.8212949874786,36.1231588535571,73.9017047169828,57.090702543667,60.5353264421144,32.1702749645961,72.2805241064736
"SAOUHSC_00231",0,0,2.23944559748433,4.75755854530559,0,0,3.08305553060788
"SAOUHSC_00232",116.248751472157,46.4440613831449,73.9017047169828,30.9241305444863,103.643816484226,74.239096072145,207.592405727597
"SAOUHSC_00233",143.843152074133,59.3451895451296,109.732834276732,22.5984030902015,132.994277789494,76.7137326078831,267.883269437262
"SAOUHSC_00234",3.5226894385502,15.4813537943816,2.23944559748433,46.3861958167295,9.17201915789613,47.0180941790251,39.0520367210331
"SAOUHSC_00235",23.4845962570013,0,13.436673584906,19.0302341812223,0,71.7644595364068,2.74049380498478
"SAOUHSC_00236",157.346794921909,36.1231588535571,378.466305974851,137.969197813862,12.8408268210546,442.959939897132,536.451662325771
"SAOUHSC_00237",170.26332286326,36.1231588535571,155.641469025161,55.9013129073406,9.17201915789613,111.358644108217,170.595739360303
"SAOUHSC_00238",4.69691925140027,0,8.95778238993731,11.893896363264,1.83440383157923,9.89854614295266,10.9619752199391
"SAOUHSC_00239",54.6016862975281,10.3209025295877,42.5494663522022,35.6816890897919,35.7708747157949,92.7988700901812,70.9102772039812
"SAOUHSC_00240",18.200562099176,20.6418050591755,34.7114067610071,21.4090134538751,20.1784421473715,61.8659133934541,24.664444244863
"SAOUHSC_00241",102.157993717956,98.0485740310836,116.451171069185,247.39304435589,61.452528357904,143.528919072814,154.83789998164
"SAOUHSC_00242",72.8022483967042,0,249.698184119502,33.3029098171391,6.42041341052729,227.666561287911,128.118085383038
"SAOUHSC_00244",0,0,23.5141787735854,0,0,2.47463653573817,0
"SAOUHSC_00246",41.0980434497523,0,35.8311295597492,44.0074165440767,38.5224804631637,38.3568663039416,27.4049380498478
"SAOUHSC_00247",28.7686304148266,25.8022563239694,53.7466943396239,191.49173144855,83.4653743368548,32.1702749645961,28.7751849523402
"SAOUHSC_00248",62.8212949874786,25.8022563239694,69.4228135220142,45.1968061804031,72.4589513473794,38.3568663039416,49.6714502153491
"SAOUHSC_00249",7.63249378352544,0,0,16.6514549085695,9.17201915789613,2.47463653573817,3.42561725623097
"SAOUHSC_00250",7.63249378352544,0,13.436673584906,2.37877927265279,3.66880766315845,0,1.37024690249239
"SAOUHSC_00251",6.45826397067537,0,4.47889119496865,16.6514549085695,11.0064229894754,0,4.45330243310027
"SAOUHSC_00253",7.0453788771004,0,0,4.75755854530559,11.0064229894754,14.847819214429,6.16611106121575
"SAOUHSC_00256",31.7042049469518,10.3209025295877,4.47889119496865,44.0074165440767,9.17201915789613,17.3224557501672,37.6817898185407
"SAOUHSC_00257",450.904248134426,95.4683483986867,31.3522383647806,183.166003994265,56.866518778956,42.0688211075488,269.253516339755
"SAOUHSC_00258",66.9310993324538,56.7649639127326,14.5563963836481,9.51511709061117,1.83440383157923,2.47463653573817,30.1454318548326
"SAOUHSC_00259",2.34845962570013,0,2.23944559748433,3.56816890897919,0.917201915789613,0,0.342561725623097
"SAOUHSC_00262",51.666111765403,92.8881227662898,0,35.6816890897919,34.8536728000053,32.1702749645961,32.5433639341943
"SAOUHSC_00266",1.17422981285007,15.4813537943816,0,0,2.75160574736884,7.4239096072145,0.685123451246195
"SAOUHSC_00267",7.0453788771004,0,0,0,3.66880766315845,8.66122787508358,26.3772528729785
"SAOUHSC_00268",25.8330558827015,20.6418050591755,0,7.13633781795838,6.42041341052729,25.9836836252507,43.5053391541334
"SAOUHSC_00270",0,0,36.9508523584914,17.8408445448959,0,0,2.05537035373859
"SAOUHSC_00271",1.17422981285007,0,51.5072487421395,2.37877927265279,1.83440383157923,0,0
"SAOUHSC_00279",1.17422981285007,0,17.9155647798746,2.37877927265279,0,0,0
"SAOUHSC_00280",0,0,22.3944559748433,7.13633781795838,0.917201915789613,0,8.90660486620053
"SAOUHSC_00281",73.9764782095542,108.369476560671,85.0989327044044,109.423846542028,230.217680863193,22.2717288216435,16.4429628299087
"SAOUHSC_00282",52.840341578253,165.134440473404,288.888482075478,218.847693084057,172.433960168447,207.869469002006,483.012033128567
"SAOUHSC_00284",3.5226894385502,0,1.11972279874216,0,0,0,2.74049380498478
